Cultivo;N;P;K;Mg;Ca;Na;B;Fe;Cu;Zn;Mn
Aguacate/Palto;3;0.7;8;0.3;0.3;;0.015;0.04;0.005;0.025;0.02
Ajo;6;1.2;7;0.5;1;;0.025;0.07;0.008;0.04;0.035
Alfalfa;30;3;25;3;15;;0.04;0.15;0.015;0.06;0.08
Algodón;20;3.5;7;2.5;2;;0.04;0.1;0.01;0.05;0.06
Almendro;68;8;80;4;5;;0.06;0.1;0.015;0.07;0.05
Arándano;1.5;0.3;2;0.15;0.2;;0.015;0.02;0.003;0.01;0.03
Arroz;15;2.8;4.5;1.2;0.5;;0.005;0.1;0.004;0.025;0.15
Avena;18;3.2;4.5;1.1;0.8;;0.005;0.05;0.004;0.02;0.04
Brócoli;4.5;0.4;5;0.3;0.8;;0.025;0.07;0.007;0.035;0.045
Cacao;26;5.9;12.2;3.8;1.5;;0.02;0.0262;0.022;0.0482;0.0233
Caña de Azúcar;1.2;0.25;1.8;0.2;0.3;;0.015;0.08;0.005;0.03;0.05
Cártamo;27;4;5;2;1;;0.02;0.05;0.004;0.03;0.025
Cebada;19;3.5;5.5;1;0.5;;0.004;0.06;0.006;0.02;0.025
Cebolla;3;0.5;3;0.25;0.6;;0.02;0.06;0.006;0.03;0.03
Centeno;27.5;4.5;15.6;2.3;2.7;;0.006;0.05;0.004;0.025;0.04
Cerezo;2.4;0.4;3.5;0.2;0.25;;0.012;0.035;0.004;0.018;0.018
Col (Repollo);3.4;0.4;3.5;0.3;0.8;;0.02;0.065;0.006;0.03;0.04
Colza/Canola;40;11;28;4;1.5;;0.03;0.07;0.008;0.05;0.04
Espinaca;5.5;0.7;5.5;0.6;1.3;;0.02;0.08;0.006;0.04;0.05
Fresa/Frutilla;10;1.7;12.5;0.7;3.5;;0.025;0.06;0.01;0.04;0.035
Garbanzo;34;3.8;8.9;1.2;1;;0.02;0.06;0.006;0.035;0.03
Girasol;24;7;6;3;1;;0.025;0.06;0.005;0.04;0.03
Guisante/Arveja;37;4;8.2;0.7;1;;0.02;0.06;0.006;0.035;0.03
Haba;39;3.8;9.8;1;1;;0.022;0.065;0.006;0.038;0.03
Judía/Frijol Seco;45;5;12;2;1.5;;0.025;0.07;0.007;0.04;0.035
Lechuga;2.5;0.4;4;0.3;0.8;;0.015;0.06;0.005;0.03;0.04
Lenteja;40;4.5;10;1.2;1;;0.02;0.06;0.006;0.035;0.03
Limonero;1.7;0.18;1.9;0.22;0.5;;0.0006;0.0024;0.0004;0.0008;0.0005
Lupino;51;3.8;8.8;1.7;1.2;;0.025;0.07;0.007;0.04;0.035
Maíz;16;3;4.5;1.2;0.2;;0.006;0.03;0.004;0.025;0.01
Maíz Ensilaje;4;0.8;3.5;0.7;1.5;;0.01;0.06;0.005;0.03;0.04
Mandarino;1.6;0.2;2.2;0.2;0.6;;0.0015;0.003;0.0007;0.0009;0.0005
Mango;2;0.25;2;0.2;0.4;;0.01;0.03;0.004;0.015;0.015
Manzano;0.7;0.2;1.5;0.06;0.06;;0.008;0.02;0.002;0.01;0.01
Melocotonero/Nectarina;2;0.3;2.8;0.2;0.2;;0.01;0.03;0.003;0.015;0.015
Melón (Cantalupo);4.8;0.8;5.4;0.4;0.7;;0.025;0.07;0.007;0.035;0.04
Naranjo;1.9;0.25;2.8;0.25;0.8;;0.003;0.0035;0.0007;0.0016;0.0009
Nogal;14;1.8;11;1.5;2;;0.05;0.08;0.012;0.06;0.04
Olivo;18;4;22.5;2.5;1;;0.03;0.08;0.01;0.05;0.04
Patata/Papa;4;0.6;6;0.3;0.1;;0.003;0.01;0.002;0.008;0.005
Pepino;2;0.3;2;0.2;0.4;;0.015;0.04;0.004;0.02;0.025
Peral;0.8;0.2;1.8;0.07;0.08;;0.009;0.025;0.003;0.012;0.012
Pimiento;3.2;0.5;5;0.3;0.3;;0.022;0.06;0.006;0.03;0.035
Pistacho;25;3.5;20;2;3;;0.055;0.09;0.014;0.065;0.045
Remolacha Azucarera;2;0.4;3.5;0.4;0.5;;0.03;0.04;0.005;0.02;0.03
Soja/Soya;60;6.5;20;4.5;3.5;;0.025;0.1;0.01;0.05;0.03
Sorgo;18;3.5;4;1.5;0.4;;0.005;0.04;0.003;0.02;0.03
Tomate (Industria/Fresco);2.5;0.4;4;0.3;0.2;;0.02;0.05;0.005;0.025;0.03
Trigo;23;4;5.5;1.3;0.6;;0.007;0.05;0.005;0.03;0.05
Uva (Mesa/Vinificación);6;1;7;0.4;1.5;;0.02;0.05;0.008;0.03;0.03
Zanahoria;1.8;0.4;4.5;0.3;0.7;;0.02;0.05;0.004;0.025;0.03
